" Routine Individual MONDAY TUESDAY WEDNESDAY THURSDAY FRIDAY Link to Load Matrix Dept & Course wise Faculty Code","9:00 AM - 10:00 AM NF MTH1101/ECEC AP MTH1101/CSEB SR MTH1101/IT MP MTH1101/ECEA NF MTH1101/BCA-A MS MTH1101/CE SC MTH1101/BT SD MTH2103/DS SDS MTH2103/CSBS SR CC301/BCA-B SB MTH1101/CSBS AP MTH1101/DS-A SG MTH2102/CSEB MP MTH2102/CSEC RB MTH2101/ECEC DC MTH5101/CSE SD MTH1101/CHE SC MTH1101/EE VB MTH1101/AIML-A MS MTH1101/ME/CME117 NF MTH2102/DS SK MTH2001/ME/CME104 SG MTH2102/CSEA SR MTH1101/BCA-B SB MTH1101/CSEC SDS MTH1101/DS-B RB MTH2102/AIML DC CBS2153/CSBS VB MTH2103/CSEB Routine - Load matrix Dept & Course wise Lecture Count","10:00 AM - 11:00 AM SB MTH1101/CSEB MS MTH1101/CSBS AP MTH1101/DS-B SC MTH1101/IOT VB MTH2103/CSEB RB MTH2102/CSEC SK MTH2103/CSBS SDS MTH1101/AEIE/ICT004 SR CC301/BCA-B NF MTH1101/BCA-B VB MTH1101/AIML-B NF MTH1101/ECEB SD MTH2103/CSEA SR MTH1101/BCA-B SK MTH2001/ME/CME104 DC MTH6121/CSE SC MTH1101/IOT MS MTH1101/CHE SR MTH1101/AIML-B SG MTH2102/CSEA SC MTH3131/AIML SDS MTH2103/AIML SK MTH1101/IOT NF CYBER SECURITY AP MTH1101/CSEC SDS MTH1101/DS-A RB MTH1101/IT SC MTH1101/BT SG MTH2101/ECEB DC MTH5101/CSE SG MTH1101/EE MS MTH1101/ME/CME117 VB MTH2103/DS DC CBS2153/CSBS MP MTH1101/ECEB NF MTH1101/BCA-A SR CC301/BCA T1 Count","11:00 AM - 12:00 PM SR MTH1101/BCA-A AP MTH1101/CSEA SB MTH1101/CE SC MTH1101/EE MP MTH1101/ECEB NF MTH2102/AIML RB MTH2101/ECEA MS MTH6121/CSE SB MTH1101/CSEA AP MTH1101/DS-A RB MTH2102/DS MS MTH6121/CSE SG MTH2101/ECEB AP MTH3121 DC MTH3122 VB MTH1101/AIML-A MP MTH1101/ECEC SDS MTH1101/DS-B SK MTH2103/AIML RB MTH2101/ECEA AP MTH1101/AEIE/ICT004 SB MTH1101/CE SK MTH2103/IT SD MTH2103/DS MP MTH2102/CSEA SDS MTH2103/CSBS SR CC301/BCA-A SR MTH1101/AIML-A NF MTH1101/ECEA AP MTH1101/CSEB SD MTH2103/CSEC SK MTH2103/AIML SC MTH3131/AIML SG MTH2101/ECEC RB MTH2101/ECEB Total Load","12:00 PM - 1:00 PM SK MTH1101/ME/CME117 DC MTH4121 NF MTH1101/ECEB MS MTH4121 VB MTH2103/CSEA RB MTH2101/ECEC ","1:00 PM - 2:00 PM AP MTH1101/AEIE/ICT004 SB MTH1101/CSEC MS MTH4121 SR CC301/BCA-A DC CBS2153/CSBS SDS MTH2103/IT VB MTH3121 SG MTH3122 SB MTH1101/CSEB SK MTH2103/IT AP MTH1101/DS-B SR MTH1101/AIML-A NF MTH1101/ECEC SD MTH2103/CSEC RB MTH1101/IT SDS MTH2103/AIML AP MTH1101/CSEC SG MTH1101/EE SDS MTH1101/DS-A MP MTH1101/ECEA VB MTH2103/CSEC RB MTH2101/ECEB NF MTH1101/BCA-B SR CC301/BCA-A AP MTH3121 DC MTH3122 SK MTH1101/IOT NF MTH1101/ECEA MP MTH2102/CSEB SDS MTH2103/IT RB MTH2102/DS SR MTH1101/BCA-A AP MTH1101/CSEA MS MTH1101/CSBS NF CYBER SECURITY SR MTH1101/AIML-B MP MTH1101/ECEC VB MTH2103/CSEA SK MTH1101/ME/CME117 SD MTH5101/CSE DC MTH3131/AIML SB MTH2001/ME/CME104 ","2:00 PM - 3:00 PM SD MTH1101/CHE VB MTH1101/AIML-B SG MTH2101/ECEC SR CYBER SECURITY DC CBS2153/CSBS SB MTH1101/CSBS SR CYBER SECURITY MP MTH2102/CSEB SD MTH2103/CSEA RB MTH2102/CSEC VB MTH2103/DS SK MTH2103/CSBS SB MTH2001/ME/CME104 SR MTH1101/IT SB MTH1101/CSEA NF MTH2102/AIML SD MTH5101/CSE VB MTH2103/CSEC MS MTH1101/CE SG MTH2101/ECEA SR CC301/BCA-B SDS MTH1101/AEIE/ICT004 MS MTH1101/CHE MP MTH2102/CSEA NF MTH2102/DS SG MTH2101/ECEA SK MTH1101/BT ","3:00 PM - 4:00 PM SK MTH1101/BT RB MTH2102/AIML SG MTH2102/CSEB SD MTH2103/CSEB MP MTH2102/CSEC   SD MTH2103/CSEB SR CYBER LAB ","4:00 PM - 5:00 PM SK T2/MTH1101/ME/CME117 SR CYBER LAB ","5:00 PM - 6:00 PM ","","","","","","","","","","","","","","",""
"MP","10","2","12","","","","","","","","","","","","","","","","","","","","",""
"SG","11","1","12","","","","","","","","","","","","","","","","","","","","",""
"MS","9","1","10","","","","","","","","","","","","","","","","","","","","",""
"SD","9","1","10","","","","","","","","","","","","","","","","","","","","",""
"VB","10","2","12","","","","","","","","","","","","","","","","","","","","",""
"AP","11","1","12","","","","","","","","","","","","","","","","","","","","",""
"GF","8","2","10","","","","","","","","","","","","","","","","","","","","",""
"SDS","10","0","10","","","","","","","","","","","","","","","","","","","","",""
"SB","10","2","12","","","","","","","","","","","","","","","","","","","","",""
"RB","9","1","10","","","","","","","","","","","","","","","","","","","","",""
"SK","12","1","13","","","","","","","","","","","","","","","","","","","","",""
"DC","9","0","9","","","","","","","","","","","","","","","","","","","","",""
"DC","13","0","13","","","","","","","","","","","","","","","","","","","","",""
