Day,Group,Period,Class Type,Course Code,Department,Faculty Initials,Room No
Monday,Group 1,1,P,AEI2151,AEIE,PPS+SJB/SBJ+BM,ICT001
Monday,Group 1,2,P,AEI2151,AEIE,PPS+SJB/SBJ+BM,ICT001
Monday,Group 1,3,P,AEI2151,AEIE,PPS+SJB/SBJ+BM,ICT001
Monday,Group 1,4,BREAK,NA,AEIE,NA,NA
Monday,Group 1,5,L,PHY2101,AEIE,AC,ICT105
Monday,Group 1,6,P,AEI2152,AEIE,IN+DMG/SKB+HP,ICT001+ICT102
Monday,Group 1,7,P,AEI2152,AEIE,IN+DMG/SKB+HP,ICT001+ICT102
Monday,Group 1,8,P,AEI2152,AEIE,IN+DMG/SKB+HP,ICT001+ICT102
Monday,Group 2,1,P,AEIE2153,AEIE,RSG+SMC/SKB+SJD,ICT009
Monday,Group 2,2,P,AEIE2153,AEIE,RSG+SMC/SKB+SJD,ICT009
Monday,Group 2,3,P,AEIE2153,AEIE,RSG+SMC/SKB+SJD,ICT009
Monday,Group 2,4,BREAK,NA,AEIE,NA,NA
Monday,Group 2,5,L,PHY2101,AEIE,AC,ICT105
Monday,Group 2,6,T,AEI2103,AEIE,RSG,ICT108
Monday,Group 2,7,NA,Mentoring,AEIE,NA,NA
Monday,Group 2,8,NA,Library,AEIE,NA,NA
Tuesday,Group 1,1,L,AEI2102,AEIE,IN,ICT004
Tuesday,Group 1,2,L,AEI2103,AEIE,RSG,ICT004
Tuesday,Group 1,3,L,AEI2101,AEIE,PPS,ICT004
Tuesday,Group 1,4,L,PHY2101,AEIE,AC,ICT004
Tuesday,Group 1,5,BREAK,NA,AEIE,NA,NA
Tuesday,Group 1,6,L,AEI2104,AEIE,SJB,ICT105
Tuesday,Group 1,7,P,AEI2154,AEIE,SJB+AMS/HP+SKB,ICT005
Tuesday,Group 1,8,P,AEI2154,AEIE,SJB+AMS/HP+SKB,ICT005
Tuesday,Group 2,1,L,AEI2102,AEIE,IN,ICT004
Tuesday,Group 2,2,L,AEI2103,AEIE,RSG,ICT004
Tuesday,Group 2,3,L,AEI2101,AEIE,PPS,ICT004
Tuesday,Group 2,4,L,PHY2101,AEIE,AC,ICT004
Tuesday,Group 2,5,BREAK,NA,AEIE,NA,NA
Tuesday,Group 2,6,NA,NA,AEIE,NA,NA
Tuesday,Group 2,7,P,AEI2150,AEIE,MC+DC/SJD+BM,ICT102
Tuesday,Group 2,8,P,AEI2150,AEIE,MC+DC/SJD+BM,ICT102
Wednesday,Group 1,1,L,AEI2102,AEIE,IN,ICT105
Wednesday,Group 1,2,L,AEI2101,AEIE,PPS,ICT105
Wednesday,Group 1,3,L,AEI2104,AEIE,SJB,ICT105
Wednesday,Group 1,4,L,PHY2101,AEIE,NPN,ICT105
Wednesday,Group 1,5,BREAK,NA,AEIE,NA,NA
Wednesday,Group 1,6,T,AEI2103,AEIE,RSG,ICT004
Wednesday,Group 1,7,P,AEI2150,AEIE,MC+DC/SJD+BM,ICT102
Wednesday,Group 1,8,P,AEI2150,AEIE,MC+DC/SJD+BM,ICT102
Wednesday,Group 2,1,L,AEI2102,AEIE,IN,ICT105
Wednesday,Group 2,2,L,AEI2101,AEIE,PPS,ICT105
Wednesday,Group 2,3,L,AEI2104,AEIE,SJB,ICT105
Wednesday,Group 2,4,L,PHY2101,AEIE,NPN,ICT105
Wednesday,Group 2,5,BREAK,NA,AEIE,NA,NA
Wednesday,Group 2,6,NA,NA,AEIE,NA,NA
Wednesday,Group 2,7,P,AEI2154,AEIE,SJB+SMC/HP+SKB,ICT005
Wednesday,Group 2,8,P,AEI2154,AEIE,SJB+SMC/HP+SKB,ICT005
Thursday,Group 1,1,P,AEI2153,AEIE,RSG+SMC/SKB+SJD,ICT009
